Time (s);FP1;F3;Fz;F4;T3;C3;Cz;C4;Sampling Rate
0.660156;-7.570039;-9.966689;-7.276221;-8.134071;-9.950858;-8.458855;-7.266188;-10.783993;
0.664063;-10.395940;-15.517283;-10.908232;-12.288776;-10.034682;-9.894276;-10.814346;-13.907067;
0.667969;-8.615941;-13.878371;-8.613131;-9.981989;-6.803634;-7.427412;-9.550912;-11.949393;
0.671875;-1.482639;-3.794995;-0.437186;-1.069886;-2.606021;-0.395714;-2.287235;-3.912785;
0.675781;2.033548;2.185614;3.521968;3.230743;-1.290243;1.511014;1.671788;0.165799;
0.679688;-5.126667;-7.090959;-4.554585;-6.051333;-4.871055;-6.976407;-5.267623;-6.855202;
0.683594;-5.117330;-8.994559;-4.427800;-7.030057;1.082808;-6.834318;-5.770177;-7.798254;
0.687500;3.104669;-0.019023;4.312029;2.492660;10.468147;2.935637;2.207579;-0.408994;
0.691406;8.131114;6.927316;9.048206;9.250584;10.568446;8.988185;7.157455;5.070249;
0.695313;5.354289;4.822117;5.244746;7.169139;2.978689;6.146005;3.992986;3.783754;
0.699219;-3.374372;-6.456369;-5.231055;-3.297281;-6.438315;-1.992893;-4.675840;-3.301479;
0.703125;-4.965405;-8.712210;-6.647563;-5.084896;-8.247710;-3.286843;-5.645436;-4.999406;
0.707031;-3.775946;-5.625229;-3.725013;-2.029006;-8.840249;-2.887838;-3.302816;-4.737445;
0.710938;-3.534562;-4.765049;-2.208070;-1.653750;-9.049071;-3.851260;-2.732312;-4.967237;
0.714844;-0.803491;-2.692533;0.764156;-0.338618;-1.434869;-1.406660;-0.781456;-2.335822;
0.718750;-2.482258;-5.330879;-2.221398;-3.474167;4.740697;-1.705886;-2.363282;-3.458601;
0.722656;0.310319;-0.512684;0.122131;0.367316;8.205019;1.505917;1.018343;-0.711035;
0.726563;7.919643;10.199909;8.223209;9.659129;10.314082;8.014544;9.479310;6.927509;
0.730469;8.232553;10.535126;8.273602;8.918804;9.114470;7.613673;11.143683;8.537539;
0.734375;1.886805;3.059619;1.718079;1.109003;4.694393;0.372129;5.107252;3.327839;
0.738281;-5.987607;-5.281275;-6.361933;-7.545424;-5.175221;-10.472184;-3.701752;-4.189878;
0.742188;-0.722045;2.069904;-0.602462;-1.440617;-6.989479;-8.665850;0.179719;0.302844;
0.746094;10.215257;14.586327;10.648993;11.172489;1.208839;4.994891;10.382869;10.315555;
0.750000;6.867229;8.592745;6.103422;7.577664;3.933225;9.069201;7.263008;6.975894;
0.753906;-0.241762;-0.549494;-1.208873;0.130710;3.038872;3.954020;-0.076984;-0.526976;
0.757813;-0.818456;-0.357937;-0.271322;-0.275601;3.829585;-0.105355;-1.308629;-1.955384;
0.761719;5.444934;8.054008;7.731835;6.421629;6.471359;3.724552;4.804786;3.516291;
0.765625;8.573982;11.226727;10.081400;9.585696;3.189439;7.132109;7.968481;6.710107;
0.769531;1.376534;0.462379;-0.573382;0.589503;-6.090305;0.705430;-0.175561;1.042579;
0.773438;-0.007365;-1.488570;-2.696443;-1.170018;-2.671088;-1.308293;-3.012518;0.486467;
0.777344;4.760873;6.402791;4.429857;4.891356;7.748988;3.479197;2.146331;4.695725;
0.781250;6.127275;9.999428;7.205128;6.737899;8.178180;5.831763;4.511250;5.420165;
0.785156;3.506842;6.483693;3.695045;3.351614;2.249491;2.708851;1.278913;2.905371;
0.789063;-1.313743;-1.634441;-2.831964;-3.246604;-0.643091;-3.647351;-3.949917;-0.858457;
0.792969;0.703770;0.830623;-0.495416;-0.550822;1.693941;-2.444852;-0.996501;1.969466;
0.796875;2.870109;6.098788;2.432760;3.670919;-0.562453;1.192047;1.998813;4.490965;
0.800781;0.387916;3.842886;-0.425550;0.646768;-2.709312;0.803556;-1.217317;1.825044;
0.804688;-0.832985;0.953229;-1.528013;-2.576606;2.493124;-0.996852;-3.254786;-0.236083;
0.808594;-4.466706;-3.955466;-4.628256;-7.567470;2.400900;-7.022776;-5.462012;-4.378486;
0.812500;-2.128533;-0.048469;-1.019425;-3.445323;0.774743;-6.459683;-1.563272;-2.987676;
0.816406;5.611608;8.851478;6.997783;6.632186;3.028362;2.259695;5.873147;3.993743;
