Time (s);FP1;F3;Fz;F4;T3;C3;Cz;C4;Sampling Rate
0.859375;-1.952354;-1.647710;-1.725299;-3.996292;-1.326760;-1.053214;-1.657205;-0.682764;
0.863281;4.126683;7.811692;3.989840;2.126592;2.637191;0.723763;5.144607;4.669480;
0.867188;2.268528;8.790494;-0.802879;2.998646;-3.702719;-0.242417;2.409366;4.389918;
0.871094;-3.423891;2.768679;-7.133753;-0.962673;-8.911476;-3.010860;-3.801320;-0.076917;
0.875000;-8.921256;-5.190166;-9.620550;-9.283067;-7.170231;-9.999804;-7.578548;-7.185043;
0.878906;-2.378514;-0.515224;0.327091;-6.359397;3.565450;-10.453623;-0.542777;-5.175732;
0.882813;8.278083;8.599298;11.418434;3.969077;10.840063;-4.624667;8.071347;2.141919;
0.886719;8.616676;7.115242;9.896862;5.984965;6.970966;-1.739763;7.158632;3.265729;
0.890625;1.350511;0.726524;-0.365151;1.770614;-1.570764;-0.593565;0.682486;0.462594;
0.894531;-10.665055;-7.776635;-15.960772;-7.474149;-12.856226;-3.251593;-9.622803;-5.976160;
0.898438;-8.644869;-5.043835;-13.262785;-5.465178;-10.502604;-1.205549;-8.319684;-4.503493;
0.902344;3.659949;3.262402;3.241986;4.649215;1.562061;3.579677;1.259562;2.195779;
0.906250;1.296764;-2.169161;1.712987;1.776733;0.082936;-0.304412;-1.715880;-1.127125;
0.910156;-7.419833;-9.551375;-8.614001;-5.447922;-6.613419;-6.121636;-8.743544;-6.792873;
0.914063;-8.836103;-9.273940;-9.530769;-8.986167;-6.254639;-9.834728;-8.687772;-8.202125;
0.917969;0.287177;-0.026759;1.048779;-3.240672;-0.108789;-4.970794;-1.128302;-1.717909;
0.921875;4.659885;4.613873;3.582417;2.636948;-1.588878;2.438498;0.539061;3.583289;
0.925781;-4.935039;-5.601927;-9.676216;-3.722349;-12.018663;0.532775;-9.304605;-2.020502;
0.929688;-3.893190;-6.537154;-8.252990;-1.427927;-7.744785;3.562335;-7.836855;-0.618983;
0.933594;7.384473;3.490069;6.811790;8.876352;6.248279;10.081657;3.628767;7.471362;
0.937500;13.316092;9.883974;15.756136;13.006758;12.438950;10.168264;9.783060;10.627584;
0.941406;9.338338;7.137878;11.431160;8.466311;6.937002;4.827397;6.357144;7.186474;
0.945313;-1.324481;-3.164373;-2.985686;-1.593606;-5.613631;-2.265553;-3.634842;-0.155681;
0.949219;3.771049;1.119641;0.225036;4.977577;-3.040740;4.355366;-0.317391;5.311537;
0.953125;17.379223;14.446720;15.897214;19.528862;10.875625;16.865561;11.738453;16.833054;
0.957031;18.890274;17.632847;19.192379;20.935728;15.542124;20.429895;14.929282;18.957129;
0.960938;10.316111;11.554218;9.623000;11.998167;8.608662;16.579550;9.237865;13.466736;
0.964844;-4.253723;-1.464900;-6.787029;-4.582809;-4.630525;2.276344;-2.294094;0.441074;
0.968750;-7.678381;-4.479865;-9.072433;-10.853503;-6.420013;-9.360003;-4.310889;-6.261042;
0.972656;-0.123171;1.831316;1.479837;-4.887724;2.656242;-8.827787;2.533204;-2.796297;
0.976563;2.252595;1.998251;4.819964;-1.631451;6.340603;-3.230372;3.759012;0.207305;
0.980469;-0.816978;-1.413394;0.537504;-1.196769;2.906563;1.299420;0.110222;0.977532;
0.984375;-6.885438;-6.059147;-7.396543;-4.819046;-3.952082;-1.308873;-5.536304;-2.669981;
0.988281;-1.347164;-0.844965;-2.237134;0.106524;0.438050;0.473601;-1.132017;-0.218277;
0.992188;10.218976;7.462726;10.320951;9.009884;10.620518;5.874427;8.322437;6.114356;
0.996094;6.326422;1.918571;6.799406;3.012440;6.636911;1.480824;5.091695;2.330163;
1.000000;-3.353296;-4.068789;-3.139743;-4.871847;-2.628418;-3.173225;-2.235416;-2.657317;
1.003906;-7.130791;-3.281663;-7.563570;-5.973963;-5.504328;-3.122233;-4.495585;-3.393869;
1.007813;1.354004;4.970444;1.165344;2.793347;3.347469;3.431132;3.229156;3.032545;
1.011719;10.657663;10.493062;11.561445;11.583073;12.247889;9.469536;11.210280;9.217277;
1.015625;2.613724;0.383657;3.837956;2.955769;4.309359;2.327862;3.895681;1.742944;
1.019531;-4.491747;-4.510108;-2.315493;-4.174333;-3.229293;-3.127246;-2.140863;-3.683261;
1.023438;-1.167906;1.952358;2.370525;-0.782425;0.599990;-0.125256;1.760048;0.134498;
1.027344;3.956214;7.441719;6.776187;4.575433;7.018093;5.416083;6.568191;5.578165;
1.031250;3.192904;4.858827;3.119972;4.967441;5.869975;8.041673;4.537081;6.391426;
1.035156;-5.463699;-5.719017;-7.274665;-3.771808;-3.759124;2.351904;-4.611912;-0.534467;
1.039063;-2.003651;-2.833649;-1.271837;-1.284133;-1.770505;2.820058;-2.031553;0.891853;
1.042969;7.938251;7.559182;11.571824;7.887585;8.034076;7.396651;7.395495;7.001276;
1.046875;5.646324;5.263713;7.885619;5.182667;7.844308;3.918181;6.107144;3.727140;
1.050781;-1.369717;-2.735526;-3.693456;0.441311;-0.148756;1.042867;-1.476143;-0.828006;
1.054688;-5.509433;-7.602397;-11.492876;-0.149656;-9.142403;2.954207;-8.023481;-1.097538;
1.058594;1.058755;0.474643;-2.696602;6.674429;-5.615917;9.430875;-2.836430;6.014688;
1.062500;5.985277;7.816195;7.549261;7.188874;1.943645;7.864751;4.013405;8.175977;
1.066406;-2.834411;-0.967593;-0.349260;-6.008375;-1.940976;-5.555481;-1.705180;-2.431442;
1.070313;-7.332102;-7.263784;-7.657994;-9.640391;-4.949579;-9.661634;-5.918119;-7.082259;
1.074219;-3.536558;-3.923406;-4.800055;-2.875368;-2.219147;-3.130982;-2.937458;-2.672285;
